Headline,Body ID,Stance
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,unrelated
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,unrelated
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated
British Aid Worker Confirmed Murdered By ISIS,882,unrelated
Gateway Pundit,2327,discuss
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,unrelated
Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,unrelated
Boko Haram Denies Nigeria Cease-Fire Claim,2463,discuss
N. Korea’s Kim has leg injury but in control,570,unrelated
ISIL Beheads American Photojournalist in Iraq,608,discuss
Tropical spider burrows under man's skin through scar,1500,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1681,discuss
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,unrelated
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,unrelated
Christian Bale Exits Steve Jobs Movie (Exclusive),1658,unrelated
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,discuss
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,discuss
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,discuss
Would-be rapist has penis severed by angry mob,1040,unrelated
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated
Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated
Seth Rogen Is Woz,213,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,unrelated
Rumors of ISIS leader's death debunked,1255,unrelated
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2045,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,unrelated
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,unrelated
